"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BAHADURPUR","BENIPUR","3153012010/RC/958486255823665977","9746","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BENIPUR&panchayat_code=3153012009&fin_year=2025-2026&source=&work_code=3153012010/RC/958486255823665977&msr_no=9746&AttendanceDate=25/03/2026&Digest=DO8JWEJi2CAkyAcQ19MK9g",9
"BASTI","BAHADURPUR","BHELWAL","3153012010/RC/958486255823596094","9761","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BHELWAL&panchayat_code=3153012010&fin_year=2025-2026&source=&work_code=3153012010/RC/958486255823596094&msr_no=9761&AttendanceDate=25/03/2026&Digest=oq240J/3m7Uy8lWmjDQKwQ",1
"BASTI","BAHADURPUR","BHELWAL","3153012010/RC/958486255823716921","9796","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BHELWAL&panchayat_code=3153012010&fin_year=2025-2026&source=&work_code=3153012010/RC/958486255823716921&msr_no=9796&AttendanceDate=25/03/2026&Digest=xGRH+L/jlMLzgYPr2mb3Pw",1
"BASTI","BAHADURPUR","BHERIHA","3153012011/LD/958486255824954107","9709","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BHERIHA&panchayat_code=3153012011&fin_year=2025-2026&source=&work_code=3153012011/LD/958486255824954107&msr_no=9709&AttendanceDate=25/03/2026&Digest=JbCJC1q6Pa6RcDchiq2BGQ",10
"BASTI","BAHADURPUR","SONBARSA","3153012014/LD/958486255824933208","9640","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=SONBARSA&panchayat_code=3153012014&fin_year=2025-2026&source=&work_code=3153012014/LD/958486255824933208&msr_no=9640&AttendanceDate=25/03/2026&Digest=2hqgyVqRqrCkb7u5IgmXYg",1
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/LD/958486255824951552","9703","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/LD/958486255824951552&msr_no=9703&AttendanceDate=25/03/2026&Digest=NA4UIKGCHuexjs0sFw8/DQ",9
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823733300","9800","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823733300&msr_no=9800&AttendanceDate=25/03/2026&Digest=kacWUE6nCyUVepEz+RO6XQ",2
"BASTI","BAHADURPUR","KALWARI MUSTAKHAM","3153012030/RC/958486255823689961","9770","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KALWARI%20MUSTAKHAM&panchayat_code=3153012030&fin_year=2025-2026&source=&work_code=3153012030/RC/958486255823689961&msr_no=9770&AttendanceDate=25/03/2026&Digest=BlHmuaIt9Bh9Yqiro5fZsQ",5
"BASTI","BAHADURPUR","KANHAULI","3153012033/LD/958486255824834898","9712","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KANHAULI&panchayat_code=3153012033&fin_year=2025-2026&source=&work_code=3153012033/LD/958486255824834898&msr_no=9712&AttendanceDate=25/03/2026&Digest=kkB4OzO0b4Sc2BfszwM+zQ",10
"BASTI","BAHADURPUR","KANHAULI","3153012033/LD/958486255824834898","9715","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KANHAULI&panchayat_code=3153012033&fin_year=2025-2026&source=&work_code=3153012033/LD/958486255824834898&msr_no=9715&AttendanceDate=25/03/2026&Digest=B0T88hBNJAripb4ulHhp3Q",6
