"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BAHADURPUR","BAHADURPUR","3153012007/WH/958486255823987468","9643","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BAHADURPUR&panchayat_code=3153012007&fin_year=2025-2026&source=&work_code=3153012007/WH/958486255823987468&msr_no=9643&AttendanceDate=22/03/2026&Digest=an7u3U7FMx9QGZINV7h99A",8
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823667987","9814","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823667987&msr_no=9814&AttendanceDate=22/03/2026&Digest=GZClT9Obhg2QbnXFpRyHrQ",10
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823667988","9803","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823667988&msr_no=9803&AttendanceDate=22/03/2026&Digest=5GOtD2sFrz7um8Nbs+xL8Q",10
"BASTI","BAHADURPUR","JALALPUR","3153012026/RC/958486255823695170","9705","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=JALALPUR&panchayat_code=3153012026&fin_year=2025-2026&source=&work_code=3153012026/RC/958486255823695170&msr_no=9705&AttendanceDate=22/03/2026&Digest=yZyeVR+HjUVMDGNv6N5eig",10
"BASTI","BAHADURPUR","KAMRIHA","3153012031/IC/958486255823711085","9782","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KAMRIHA&panchayat_code=3153012031&fin_year=2025-2026&source=&work_code=3153012031/IC/958486255823711085&msr_no=9782&AttendanceDate=22/03/2026&Digest=7wRQ23jyf9SNZ21jH9fXwg",5
"BASTI","BAHADURPUR","KODAR","3153012039/RC/958486255823589406","9603","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KODAR&panchayat_code=3153012039&fin_year=2025-2026&source=&work_code=3153012039/RC/958486255823589406&msr_no=9603&AttendanceDate=22/03/2026&Digest=1p3JM3ylw5Aas3ofqU+DcQ",7
"BASTI","BAHADURPUR","NIRANJAN PUR","3153012055/RC/958486255823743353","9637","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NIRANJAN%20PUR&panchayat_code=3153012055&fin_year=2025-2026&source=&work_code=3153012055/RC/958486255823743353&msr_no=9637&AttendanceDate=22/03/2026&Digest=a+02J2JKLecWEgBi5/3QkQ",6
"BASTI","BAHADURPUR","NIRANJAN PUR","3153012055/RC/958486255823743354","9570","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NIRANJAN%20PUR&panchayat_code=3153012055&fin_year=2025-2026&source=&work_code=3153012055/RC/958486255823743354&msr_no=9570&AttendanceDate=22/03/2026&Digest=N/zuAvdPDh9+ScdwNmmYTQ",9
"BASTI","BAHADURPUR","NRAYANPUR","3153012056/RC/958486255823733814","9868","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NRAYANPUR&panchayat_code=3153012056&fin_year=2025-2026&source=&work_code=3153012056/RC/958486255823733814&msr_no=9868&AttendanceDate=22/03/2026&Digest=nz8qgBeA57xXW4fQKci85Q",10
"BASTI","BAHADURPUR","PAALHA","3153012057/LD/958486255825007541","9764","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PAALHA&panchayat_code=3153012057&fin_year=2025-2026&source=&work_code=3153012057/LD/958486255825007541&msr_no=9764&AttendanceDate=22/03/2026&Digest=P5G0ET0Foa25Ozc3G2jyqA",4
"BASTI","BAHADURPUR","PHOOLPUR","3153012061/LD/958486255825008303","9860","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PHOOLPUR&panchayat_code=3153012061&fin_year=2025-2026&source=&work_code=3153012061/LD/958486255825008303&msr_no=9860&AttendanceDate=22/03/2026&Digest=1IC+JdjjtGbvmYw1tNpJ/A",8
"BASTI","BAHADURPUR","PHOOLPUR","3153012061/RC/958486255823571296","9550","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PHOOLPUR&panchayat_code=3153012061&fin_year=2025-2026&source=&work_code=3153012061/RC/958486255823571296&msr_no=9550&AttendanceDate=22/03/2026&Digest=ptON4MiMkjf78wIfp9yIzg",8
