"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BAHADURPUR","PAALHA","3153012057/LD/958486255825007541","9762","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PAALHA&panchayat_code=3153012057&fin_year=2025-2026&source=&work_code=3153012057/LD/958486255825007541&msr_no=9762&AttendanceDate=27/03/2026&Digest=5h/qg3xbfscWZv8QmR1OcA",4
"BASTI","BAHADURPUR","PRATAPPUR","3153012064/RC/958486255823658056","9693","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PRATAPPUR&panchayat_code=3153012064&fin_year=2025-2026&source=&work_code=3153012064/RC/958486255823658056&msr_no=9693&AttendanceDate=27/03/2026&Digest=QUN450UYEpJpxUc3yvyAxw",4
"BASTI","BAHADURPUR","PRATAPPUR","3153012064/RC/958486255823707627","9696","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PRATAPPUR&panchayat_code=3153012064&fin_year=2025-2026&source=&work_code=3153012064/RC/958486255823707627&msr_no=9696&AttendanceDate=27/03/2026&Digest=CRl3qJM/dNi6Ug4pHN1uFQ",7
"BASTI","BAHADURPUR","PRATAPPUR","3153012064/RC/958486255823707646","9698","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PRATAPPUR&panchayat_code=3153012064&fin_year=2025-2026&source=&work_code=3153012064/RC/958486255823707646&msr_no=9698&AttendanceDate=27/03/2026&Digest=Irym3icj3WVeO+y2k1iS4w",8
"BASTI","BAHADURPUR","RAKHAUNA","3153012066/LD/958486255824953181","9787","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=RAKHAUNA&panchayat_code=3153012066&fin_year=2025-2026&source=&work_code=3153012066/LD/958486255824953181&msr_no=9787&AttendanceDate=27/03/2026&Digest=BqBFZGG6/n9hXvEdsOmT1Q",6
"BASTI","BAHADURPUR","SAIFABAD","3153012069/RC/958486255823597406","9679","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=SAIFABAD&panchayat_code=3153012069&fin_year=2025-2026&source=&work_code=3153012069/RC/958486255823597406&msr_no=9679&AttendanceDate=27/03/2026&Digest=d5GKQmpSgagHSj6Fe0pZcQ",4
"BASTI","BAHADURPUR","AMILAHA","3153012092/WH/958486255823998983","9738","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=AMILAHA&panchayat_code=3153012092&fin_year=2025-2026&source=&work_code=3153012092/WH/958486255823998983&msr_no=9738&AttendanceDate=27/03/2026&Digest=/ELlVRomdyYFPTc+tV9hjw",7
"BASTI","BANKATI","BHAWARA","3153011018/IC/958486255823741528","9343","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=BHAWARA&panchayat_code=3153011018&fin_year=2025-2026&source=&work_code=3153011018/IC/958486255823741528&msr_no=9343&AttendanceDate=27/03/2026&Digest=+2c+dUAJ+/vH93NxaF5f9A",9
"BASTI","BANKATI","DEWAMI","3153011027/AV/958486255824164986","9595","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=DEWAMI&panchayat_code=3153011027&fin_year=2025-2026&source=&work_code=3153011027/AV/958486255824164986&msr_no=9595&AttendanceDate=27/03/2026&Digest=H2TW1A3TUlSdPUlKvHAPVA",1
"BASTI","BANKATI","DEWAMI","3153011027/FP/958486255823613996","9294","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BANKATI&block_code=3153011&panchayat_name=DEWAMI&panchayat_code=3153011027&fin_year=2025-2026&source=&work_code=3153011027/FP/958486255823613996&msr_no=9294&AttendanceDate=27/03/2026&Digest=gTz23BUXWjnhRUUeaSYK1Q",3
