"District","Block","Panchayat","Work_Code","Mustroll_No","Mustroll_Link","Persondays"
"BASTI","BAHADURPUR","BAHADURPUR","3153012007/WH/958486255823987468","9643","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=BAHADURPUR&panchayat_code=3153012007&fin_year=2025-2026&source=&work_code=3153012007/WH/958486255823987468&msr_no=9643&AttendanceDate=21/03/2026&Digest=Cvs4FFxHcLj+UVKMwk3XRQ",8
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823667987","9814","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823667987&msr_no=9814&AttendanceDate=21/03/2026&Digest=mqLapCNUtzvJ3n5IeAMyuQ",10
"BASTI","BAHADURPUR","DEV DEEHA","3153012019/RC/958486255823667988","9803","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=DEV%20DEEHA&panchayat_code=3153012019&fin_year=2025-2026&source=&work_code=3153012019/RC/958486255823667988&msr_no=9803&AttendanceDate=21/03/2026&Digest=/XNHhZMF54KS4RdaHmL17A",10
"BASTI","BAHADURPUR","JALALPUR","3153012026/RC/958486255823695170","9705","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=JALALPUR&panchayat_code=3153012026&fin_year=2025-2026&source=&work_code=3153012026/RC/958486255823695170&msr_no=9705&AttendanceDate=21/03/2026&Digest=NPRucNQhS+96eeAULZgn6A",10
"BASTI","BAHADURPUR","KODAR","3153012039/RC/958486255823589406","9603","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=KODAR&panchayat_code=3153012039&fin_year=2025-2026&source=&work_code=3153012039/RC/958486255823589406&msr_no=9603&AttendanceDate=21/03/2026&Digest=+6L7i2sUJBL1xSAadEojJA",8
"BASTI","BAHADURPUR","NIRANJAN PUR","3153012055/RC/958486255823743353","9637","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NIRANJAN%20PUR&panchayat_code=3153012055&fin_year=2025-2026&source=&work_code=3153012055/RC/958486255823743353&msr_no=9637&AttendanceDate=21/03/2026&Digest=rcOMJp4BT2rmfhyvF4PI0Q",6
"BASTI","BAHADURPUR","NIRANJAN PUR","3153012055/RC/958486255823743354","9570","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NIRANJAN%20PUR&panchayat_code=3153012055&fin_year=2025-2026&source=&work_code=3153012055/RC/958486255823743354&msr_no=9570&AttendanceDate=21/03/2026&Digest=DQ3i3DjiERJ7HQ0kfWAKGQ",9
"BASTI","BAHADURPUR","NRAYANPUR","3153012056/RC/958486255823733814","9868","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=NRAYANPUR&panchayat_code=3153012056&fin_year=2025-2026&source=&work_code=3153012056/RC/958486255823733814&msr_no=9868&AttendanceDate=21/03/2026&Digest=jAvI5Yvv+56OHcKoJp/3ig",10
"BASTI","BAHADURPUR","PHOOLPUR","3153012061/LD/958486255825008303","9860","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PHOOLPUR&panchayat_code=3153012061&fin_year=2025-2026&source=&work_code=3153012061/LD/958486255825008303&msr_no=9860&AttendanceDate=21/03/2026&Digest=dYVEmFqgeTGDS7iT40QgVA",7
"BASTI","BAHADURPUR","PHOOLPUR","3153012061/RC/958486255823571296","9550","https://mnregaweb4.nic.in/nregaarch/View_NMMS_atten_date_dtl_rpt.aspx?page=&short_name=UP&state_name=UTTAR%20PRADESH&state_code=31&district_name=BASTI&district_code=3153&block_name=BAHADURPUR&block_code=3153012&panchayat_name=PHOOLPUR&panchayat_code=3153012061&fin_year=2025-2026&source=&work_code=3153012061/RC/958486255823571296&msr_no=9550&AttendanceDate=21/03/2026&Digest=vSGT+YMxSiIzZZxchcW1+w",8
